temp,h2so4,na2so4,solid,i
0,62.87,3.36,,Capture_0_table
0,62.6,3.11,nahso4,Capture_0_table
0,61.2,3.05,,Capture_0_table
0,60,2.79,,Capture_0_table
0,58.46,2.38,nahso4-h2o,Capture_0_table
0,57.5,2.11,,Capture_0_table
0,48.31,3.98,nahso4-h2o,Capture_0_table
0,37.25,7.67,,Capture_0_table
0,36.01,7.66,,Capture_0_table
0,34.59,9.62,,Capture_0_table
0,33.13,13.01,,Capture_0_table
0,32.73,13.88,nahso4-h2o,Capture_0_table
0,30.74,16.45,nahso4-h2o,Capture_0_table
0,29.95,18.67,,Capture_0_table
0,26.08,22.95,,Capture_0_table
0,24.13,25.7,,Capture_0_table
0,23.81,26.25,,Capture_0_table
0,22.66,27.85,na3h(so4)2,Capture_0_table
0,22.17,28.3,,Capture_0_table
0,21.64,14.44,na2so4-10h2o,Capture_0_table
0,21.59,20.01,na2so4-10h2o,Capture_0_table
0,21.52,23.01,na2so4-10h2o,Capture_0_table
0,20.5,8.9,,Capture_0_table
0,19.92,10.43,,Capture_0_table
0,14.75,7.9,,Capture_0_table
0,14.35,7.92,,Capture_0_table
0,6.74,5.98,,Capture_0_table
29.5,84.25,9.3,,Capture_1_table
29.5,82.91,12.7,,Capture_1_table
29.5,65.55,4.31,,Capture_1_table
29.5,62.55,4.59,,Capture1_0_table
29.5,59.96,5.7,nahso4,Capture1_0_table
29.5,55.13,7.85,nahso4 + na3h(so4)2 + nahso4-h2o,Capture1_0_table
29.5,49.49,8.35,nahso4-h2o,Capture1_1_table
29.5,48.15,8.96,nahso4-h2o,Capture1_1_table
29.5,45.5,10.51,nahso4-h2o,Capture1_1_table
29.5,37.22,19,nahso4-h2o,Capture1_1_table
29.5,36.65,19.62,nahso4-h2o,Capture1_1_table
29.5,32.79,26.54,nahso4-h2o,Capture1_1_table
29.5,32.64,26.87,,Capture1_1_table
29.5,32.53,27.81,,Capture1_1_table
29.5,30.6,28.32,na3h(so4)2,Capture1_1_table
29.5,29.7,29.22,na3h(so4)2,Capture1_1_table
29.5,27.35,29.79,na3h(so4)2,Capture1_1_table
29.5,26.99,29.74,na3h(so4)2,Capture1_1_table
29.5,24.98,30.86,na3h(so4)2,Capture1_1_table
29.5,22.95,32.38,na3h(so4)2,Capture1_1_table
29.5,21.37,32.69,na3h(so4)2,Capture1_1_table
29.5,19.49,33.19,na3h(so4)2,Capture1_1_table
29.5,19.1,33.49,na3h(so4)2,Capture1_1_table
29.5,17.31,34.37,na2so4,Capture1_1_table
29.5,16.04,33.93,na2so4,Capture1_1_table
29.5,15.62,34.01,na2so4,Capture1_1_table
29.5,15.6,34.02,na2so4,Capture1_1_table
29.5,14.38,33.75,na2so4,Capture1_1_table
29.5,13.83,33.34,na2so4,Capture1_1_table
29.5,10.05,32.51,na2so4,Capture1_1_table
29.5,8.52,32.42,na2so4,Capture1_1_table
29.5,6.99,32.6,na2so4,Capture1_1_table
29.5,5.18,32.84,na2so4,Capture2_0_table
29.5,3.99,32.89,na2so4,Capture2_0_table
29.5,3.06,32.22,na2so4-10h2o,Capture2_0_table
46,80.44,13.22,,Capture2_1_table
46,78.58,1.92,,Capture2_1_table
46,74.83,3.7,,Capture2_1_table
46,72.16,7.5,,Capture2_1_table
46,67.76,4.51,,Capture2_1_table
46,65.59,6.04,,Capture2_1_table
46,64.8,6.16,nahso4,Capture2_1_table
46,62.46,6.4,nahso4,Capture2_1_table
46,61.79,6.82,nahso4,Capture2_1_table
46,56,9.93,nahso4,Capture2_1_table
46,55.5,10.2,nahso4,Capture2_1_table
46,52.65,12.41,nahso4,Capture2_1_table
46,51.31,14.21,nahso4,Capture2_1_table
46,49.6,17.13,,Capture2_1_table
46,48.5,17.71,nahso4-h2o,Capture2_1_table
46,48.32,17.76,nahso4-h2o,Capture2_1_table
46,45.17,19.85,nahso4-h2o,Capture2_1_table
46,44.52,20.5,nahso4-h2o,Capture2_1_table
46,43.9,21.2,nahso4-h2o,Capture2_1_table
46,36.5,30.95,nahso4-h2o,Capture2_1_table
46,35.7,32.65,nahso4-h2o,Capture2_1_table
46,35.36,33.25,nahso4-h2o,Capture2_1_table
46,33.44,33.27,na3h(so4)2,Capture2_1_table
46,33.16,33.01,na3h(so4)2,Capture2_1_table
46,33.08,33.22,na3h(so4)2,Capture2_1_table
46,30.18,33.07,na3h(so4)2,Capture2_1_table
46,29.3,33.15,na3h(so4)2,Capture2_1_table
46,28.48,33.25,na3h(so4)2,Capture2_1_table
46,27.15,33.7,na3h(so4)2,Capture2_1_table
46,24.6,34.4,na3h(so4)2,Capture2_1_table
46,23.04,34.52,,Capture2_1_table
46,22.93,34.73,,Capture2_1_table
46,21.32,34.97,,Capture2_1_table
46,20.5,35.18,,Capture2_1_table
46,19.18,35.63,,Capture2_1_table
46,18.12,35.94,na2so4,Capture2_1_table
46,18.08,35,na2so4,Capture2_1_table
46,16.17,34.6,na2so4,Capture2_1_table
46,15.57,34.08,na2so4,Capture2_1_table
46,14.9,34.1,na2so4,Capture2_1_table
46,14.87,34.14,na2so4,Capture2_1_table
46,14.4,33.7,na2so4,Capture2_1_table
46,10.8,33.01,na2so4,Capture2_1_table
46,8.6,32.62,na2so4,Capture2_1_table
46,6.27,32.54,na2so4,Capture2_1_table
46,3.47,32.4,na2so4,Capture2_1_table
60,81.01,5.14,nahso4,Capture2_2_table
60,80.8,13.59,,Capture2_2_table
60,79.48,3.57,,Capture3_0_table
60,79.32,3.3,,Capture3_0_table
60,78.69,3.2,,Capture3_0_table
60,78.6,15.93,,Capture3_0_table
60,77.78,16.6,,Capture3_0_table
60,73.55,11.33,,Capture3_0_table
60,67.79,7.9,,Capture3_0_table
60,65.66,8.1,nahso4,Capture3_0_table
60,63.75,8.22,nahso4,Capture3_0_table
60,55.36,13.27,nahso4,Capture3_0_table
60,51.25,17.72,nahso4,Capture3_0_table
60,42.53,31.11,nahso4,Capture3_0_table
60,41.77,33.04,,Capture3_0_table
60,35.05,38.34,,Capture3_0_table
60,34.26,38.22,na3h(so4)2,Capture3_0_table
60,29.87,37,na3h(so4)2,Capture3_0_table
60,27.1,36.48,na3h(so4)2,Capture3_0_table
60,22.14,36.73,na3h(so4)2,Capture3_0_table
60,22.1,36.86,na3h(so4)2,Capture3_0_table
60,19,37.03,na2so4,Capture3_0_table
60,18.72,36.83,na2so4,Capture3_0_table
60,14.71,34.26,na2so4,Capture3_0_table
60,14.18,33.91,na2so4,Capture3_0_table
60,13.13,33.7,na2so4,Capture3_0_table
60,4.66,32.72,na2so4,Capture3_0_table
82.5,6.49,31.72,na2so4,Capture5_0_table
82.5,14.32,35.18,na2so4,Capture5_0_table
82.5,16.58,36.44,na2so4,Capture5_0_table
82.5,18.15,37.29,na2so4,Capture5_0_table
82.5,19.73,38.63,na2so4,Capture5_0_table
82.5,20.2,38.85,,Capture4_0_table
82.5,25,39.39,na3h(so4)2,Capture4_0_table
82.5,28.86,40.63,na3h(so4)2,Capture4_0_table
82.5,30.17,41.24,na3h(so4)2,Capture4_0_table
82.5,30.95,41.5,na3h(so4)2,Capture4_0_table
82.5,31,41.55,na3h(so4)2,Capture3_1_table
82.5,32.15,42.25,,Capture3_1_table
82.5,35.15,44.2,,Capture3_1_table
82.5,36.14,45.37,,Capture3_1_table
82.5,36.25,46.55,,Capture3_1_table
82.5,36.55,46.2,,Capture3_1_table
82.5,41.04,40.9,nahso4,Capture3_1_table
82.5,44,34.8,nahso4,Capture3_1_table
82.5,47.55,28.78,nahso4,Capture3_1_table
82.5,47.82,28.52,nahso4,Capture3_1_table
82.5,49.78,25.5,nahso4,Capture3_1_table
82.5,50.64,23.62,nahso4,Capture3_1_table
82.5,53.9,20.84,nahso4,Capture3_1_table
82.5,54.35,19.42,nahso4,Capture3_1_table
82.5,56.99,16.45,nahso4,Capture3_1_table
82.5,64.39,11.79,nahso4,Capture3_1_table
82.5,65.07,10.97,nahso4,Capture3_1_table
82.5,65.5,11.9,nahso4,Capture3_1_table
82.5,68.8,13.14,,Capture3_1_table
82.5,71.38,24.67,,Capture3_1_table
82.5,71.44,10.56,,Capture3_1_table
82.5,72.26,9.9,,Capture3_1_table
82.5,73,21.43,,Capture3_1_table
82.5,73.12,19.37,,Capture3_1_table
82.5,75.44,11.47,,Capture3_1_table
82.5,75.73,11.2,nahso4,Capture3_1_table
